Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Link
Computrics Integration Technologies Pvt. Ltd.,,"104, Hiren Industrial Estate, Mogul Lane, Mahim, Mumbai - 400016",+91 22 24465549,computrics.com,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,,"31 Dec 2019
Update Above Information",,https://www.enfsolar.com/citpl?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108044&utm_campaign=profiles_installer
Citron Power Solution,,"Citron House, VJ Lane, Vellayambalam, Trivandrum, Kerala, 695510",+91 6282 618969,citronpower.in/,India,,,,,,,,,2008,Off-grid,,,,,,,,,,,,,,,,,,,,,,,,2008,Off-grid,(S)maller Installations,India,,,,,,,,,,,,,,,"11 Mar 2021
Update Above Information",,https://www.enfsolar.com/citron-power?directory=installer&utm_source=ENF&utm_medium=India&utm_content=130559&utm_campaign=profiles_installer
M/s CIty Infotech,,"Plot No. 42, Near Snatan Dharm Mandir, Prem Nagar, Ambala, 134003",+91 7988689001,cctvchandigarh.in/,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",Design,India,"Vikram Solar Limited, Adani Solar","Delta Energy Systems (Germany) GmbH, Fimer S.p.A.",,,,,,,,,,,,,"19 May 2020
Update Above Information",,https://www.enfsolar.com/city-infotech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124620&utm_campaign=profiles_installer
Clean Energy Solutions Indira Enterprises,,"Plot No. 65 Gut No 34 Ashok Nagar Gopalchavdi Road Nanded, Maharashtra 431603",+91 99756 46573,cesindiraenterprises.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"23 Dec 2019
Update Above Information",,https://www.enfsolar.com/clean-energy-solutions-indira?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120607&utm_campaign=profiles_installer
Clean Max Enviro Energy Solutions Pvt Ltd.,,"4th Floor, The International, 16 Maharshi Karve Road, New Marine Lines Cross Road No.1, Churchgate, Mumbai 400 020",+91 22 62520000,cleanmax.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring","UAE, India, Thailand",,,,,,,,,,,,,,,"29 Aug 2020
Update Above Information",,https://www.enfsolar.com/clean-max?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123607&utm_campaign=profiles_installer
CleanMax Solar,,"1511, Prasad Chambers, Pandit Paluskar Chowk, Opera house, Charni Road, Mumbai-400004",+91 22 23676785,cleanmaxsolar.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"6 Jan 2021
Update Above Information","12 Jan 2017
NEXTracker Partners with CleanMax Solar to Deliver Solar Power in India",https://www.enfsolar.com/cleanmax-1?directory=installer&utm_source=ENF&utm_medium=India&utm_content=76843&utm_campaign=profiles_installer
CleanUrja,,+91 96 95998989,cleanurja.in,India,,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,"22 Sep 2020
Update Above Information",,https://www.enfsolar.com/cleanurja?directory=installer&utm_source=ENF&utm_medium=India&utm_content=115719&utm_campaign=profiles_installer
Clenergy Innovations Private Limited,,"No. 32/2, Plot No. AP268, 42nd St, 8th Sector, K. K. Nagar, Chennai, Tamil Nadu 600078",+91 9543145123,clipenergy.in,India,,,,,,,,,"On-grid, Off-grid","Indonesia, India, Singapore",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","Indonesia, India, Singapore",,,,,,,,,,,,,,,,,"15 Apr 2020
Update Above Information",,https://www.enfsolar.com/clip-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123455&utm_campaign=profiles_installer
Cloud Reach Power & Security Pvt. Ltd.,,"SCO 32A, 2F, Grand Plaza Market, Sector 125, New Sunny Enclave, Mohali",+91 77173 21030,cloudreachpower.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,"Delta Electronics, Inc., SolarEdge Technologies, Ltd., Luminous Power Technologies Pvt. Ltd.",,,,,,,,,,,,,,,"11 May 2020
Update Above Information",,https://www.enfsolar.com/cloud-reach-power-security?directory=installer&utm_source=ENF&utm_medium=India&utm_content=124077&utm_campaign=profiles_installer
CM Electrical,,"Shop No. F-111, Ratnam Heights, Opp Motibhai Park, Near Khodiyar Nagar, New Karelibaug, Vadodara, Gujarat",+91 265 6561011,www.cmelectrical.in,India,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,"21 Jan 2020
Update Above Information",,https://www.enfsolar.com/cm-electrical?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108970&utm_campaign=profiles_installer
Codus Security & Power Solution,,"Building No. 373, Peruva P. O, Peruva, Kerala, 686610",+91 99612 25962,https://coduskerala.business.site,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,India,"Canadian Solar Inc., Waaree Energies Ltd, Vikram Solar Limited, Sova Solar Ltd.","Shenzhen Kstar Science & Technology Co., Ltd., V-Guard Industries Ltd., Polycab India Limited, Exide Industries Limited",,,,,,,,,,,,,,"3 Mar 2021
Update Above Information",,https://www.enfsolar.com/codus-security-power-solution?directory=installer&utm_source=ENF&utm_medium=India&utm_content=130668&utm_campaign=profiles_installer
Colorstech Enterprises,,"Kalyanpur, 226022, Lucknow",+91 94542 41494,Click to get email address,colorstech.net,India,"Business Details
Installation size (S)maller Installations
Operating Area India",,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Jul 2020
Update Above Information",,https://www.enfsolar.com/colorstech-enterprises-1-2?directory=installer&utm_source=ENF&utm_medium=India&utm_content=115714&utm_campaign=profiles_installer
Comorin Solar,,"T.C 6/3412, Koodu Buildings, Koculloor junction, Ulloor, Thiruvananthapuram, Kerala 695011",+91 96331 59523,www.comorinsolar.com,India,,,,,,,,,2015,"On-grid, Off-grid",,,,,,,,,,,,,,,,,,,,,,,,2015,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design, Monitoring",India,"REC Group, Trina Solar Limited, Canadian Solar Inc., Panasonic Corporation (Sanyo), Waaree Energies Ltd, Jinko Solar Holding Co., Ltd., LONGi Solar Technology Co., Ltd., Vikram Solar Limited, LG Electronics, Inc., RenewSys India Private Limited, Adani Solar","SMA Solar Technology AG, Fronius International GmbH, Enphase Energy, Inc., SolarEdge Technologies, Ltd., Shenzhen Growatt New Energy Technology Co., Ltd., Fimer S.p.A., SolaX Power Network Technology(Zhejiang) Co.,Ltd., Huawei Technologies Co., Ltd.",Kaytom Energy Private Limited,,,,,,,,,,,"25 May 2020
Update Above Information",,https://www.enfsolar.com/comorin-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=112611&utm_campaign=profiles_installer
Complete Solar Systems LLP,,"C-126, Street No. 9A, West Vinod Nagar, Delhi-110092",+91 93117 24193,Click to get email address,www.completesolars.com,India,50,,,,,,,,,,(S)maller Installations,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,"Business Details
On-Grid / Off-Grid On-grid, Off-grid
Installation size (S)maller Installations
Other Services Design
Operating Area India","28 Feb 2020
Update Above Information",https://www.enfsolar.com/complete-solar-systems?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122306&utm_campaign=profiles_installer
Concept Engineers,,"Shop No: 171, Kannan Complex, 6th Street Gandhipuram, Coimbatore - 641012",+91 97151 39996,conceptengineerscbe.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"19 Dec 2019
Update Above Information",,https://www.enfsolar.com/concept-engineers?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120545&utm_campaign=profiles_installer
Concept Powertech Pvt. Ltd.,,"Office No. 506, 5th Floor, Rainbow Plaza, Rahatani Road, Sunshine Villas, Rahatani, Chinchwad, MH 411017",+91 20 27206011,www.conceptpower.in,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"25 Mar 2021
Update Above Information",,https://www.enfsolar.com/concept-powertech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107812&utm_campaign=profiles_installer
Conferact Green Energy Pvt. Ltd.,,"226, 2nd floor, Globe Estate, Plot no:- C-9, Phase 1, MIDC, Dombivli East, Maharashtra - 421203",+91 97694 93768,conferact.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design",India,Su-Kam Power Systems Ltd.,,,,,,,,,,,,,,"18 Dec 2019
Update Above Information",,https://www.enfsolar.com/conferact-green-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120457&utm_campaign=profiles_installer
Contemplay Energy Pvt. Ltd.,,"506, 3rd Floor, Sharp Bhawan Commercial Complex, Azadpur Delhi, 110009",+91 11 27677608,www.contemplay.com/,India,,"Arun Saini
Director
Manish Kathait
Director-Business Develo...
Nitin Goel
Head - Sales & Marketing",Arun Saini,Director,,,,,,,10,"On-grid, Off-grid",,,,10,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,Fimer S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 Mar 2021
Update Above Information",https://www.enfsolar.com/contemplay-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=86144&utm_campaign=profiles_installer
Contendre Greenergy Private Limited,,"I-6, Rajlaxmi Hi-Tech Park, Sonale Village, Mumbai-Nashik Highway, Bhiwandi, Thane, Maharashtra",+91 89287 31268,Click to get email address,www.contendresolar.com,India,"Yash Sheth
Director",Yash Sheth,Director,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring, Training",India,Contendre Greenergy Private Limited,,,,,,,,,,,,,,,,,,,,,,2018,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring, Training",India,Contendre Greenergy Private Limited,,,,"Business Details
Installation Starting Date 2018
On-Grid / Off-Grid On-grid, Off-grid
Installation size (S)maller Installations, 1(M)Wp+ Installations
Other Services Evaluation, Design, Monitoring, Training
Operating Area India
Panel Suppliers Contendre Greenergy Private Limited","29 Oct 2020
Update Above Information",https://www.enfsolar.com/contendre-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=119094&utm_campaign=profiles_installer
Continual Renewable Energy Pvt Ltd,,"F-904, Empire Square, CTS No. 4510/1, Next to Auto Cluster, Chinchwad, Pune, 411019",+91 86001 42314,www.crepl.co.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,"8 May 2020
Update Above Information",,https://www.enfsolar.com/continual-renewable-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123660&utm_campaign=profiles_installer
Contrive Group,,"GF-6, Aakash Mall, Aerodrome Circle, Kota-324007, Rajasthan",+91 96729 92544,contrivekota.com,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,"9 Jan 2020
Update Above Information",,https://www.enfsolar.com/contrive?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121047&utm_campaign=profiles_installer
Corona Soltech,,"208, 2nd Floor, Sunny Mart New Aatish Market, Jaipur - 302019",+91 94600 37006,coronasoltech.com,India,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,"Perlight Solar Co., Ltd., Risen Energy Co., Ltd., JSC Soli Tek Cells",,,,,,,,,,,,,,,,"27 Dec 2019
Update Above Information",,https://www.enfsolar.com/corona-soltech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120742&utm_campaign=profiles_installer
Coronium Solar,,"Near Tifra Over Bridge, BD Complex Vikas Nagar Tifra, Bilaspur (G.G.) Pin – 495001",+91 97134 40055,coroniumsolar.com,India,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,"9 Aug 2019
Update Above Information",,https://www.enfsolar.com/coronium-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=117347&utm_campaign=profiles_installer
Corpus Solar Power Engineering Pvt. Ltd.,,"2788/2, Opp. Moti Pole, Near Sanskar School, Off Jorden Road, Lunsawad, Dariyapur, Ahmedabad -380001",+91 95371 13131,www.corpussolarpower.com,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,Design,India,,,,,,,,,,,,,,,"12 Feb 2020
Update Above Information",,https://www.enfsolar.com/corpus-solar-power-engineering?directory=installer&utm_source=ENF&utm_medium=India&utm_content=121874&utm_campaign=profiles_installer
Corrit On Demand Solutions Pvt Ltd,,"Plus Offices, First Floor, Landmark Cyber Park, Sec-67, Gurgaon Haryana - 122102",+91 88828 54321,https://www.corrit.com,India,,,,,,,,,2017,Off-grid,,,,,,,,,,,,,,,,,,,,,,,,2017,Off-grid,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design","India
Middle East, Africa",,,,,,,,,,,,,,"5 Oct 2020
Update Above Information",,https://www.enfsolar.com/corrit?directory=installer&utm_source=ENF&utm_medium=India&utm_content=116595&utm_campaign=profiles_installer
Corwind Renergy LLP,,"Vithal Udyognagar, GIDC, Anand, Gujarat, 388121",+91 9428490118,https://crlsolar.in,India,,,,,,,,,2017,"On-grid, Off-grid",,,,,,,,,,,,,,,,,,,,,,,,2017,"On-grid, Off-grid",(S)maller Installations,India,"SMA Solar Technology AG, Fronius International GmbH, Fimer S.p.A.",,,,,,,,,,,,,,"16 Sep 2020
Update Above Information",,https://www.enfsolar.com/corwind-renerg?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107492&utm_campaign=profiles_installer
Cosmos Renewable Energy Pvt. Ltd.,,"#632/18-2, Second Floor, 10th B Main, Above Sree Charan Bank, Jayanagar 4th block, Bangalore – 560011",+91 80 26636667,cosmosenergy.biz,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,"31 Dec 2019
Update Above Information",,https://www.enfsolar.com/cosmos-renewable-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120892&utm_campaign=profiles_installer
Cotmac Electronics Pvt. Ltd,,"168-'S'-Block, MIDC, Bhosari, Pune-411026, Maharashtra",+91 20 30687120,www.cotmac.io,India,,100,,,,,,,,,2013,5,,,,2013,5,On-grid,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring, Training",India,"Astronergy Co., Ltd. (Chint Solar)",Delta Energy Systems (Germany) GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Oct 2020,https://www.enfsolar.com/cotmac-electronics?directory=installer&utm_source=ENF&utm_medium=India&utm_content=111830&utm_campaign=profiles_installer
Cranfinia Energy Pvt. Ltd.,,"#307, 3rd Cross, Shanboga Colony, Yemalur Main Road, Bengaluru, Karnataka, 560037",+91 76 19193300,www.cranfinia.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,1 Jul 2020,,https://www.enfsolar.com/cranfinia-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108592&utm_campaign=profiles_installer
C R Engineering & Advent Technologies Enterprise,,"Flat No: 84, ARK City Phase II, Chennai bypass Road, Trichy, 620 010",+91 96553 41622,www.crengg.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"18 Jan 2021
Update Above Information",,https://www.enfsolar.com/create?directory=installer&utm_source=ENF&utm_medium=India&utm_content=86167&utm_campaign=profiles_installer
Creative Business Corporation,,"Ponnurunni, Vyttila, Ernakulam",+91 484 4015985,Click to get email address,creativebusinesscorporation.com,India,"Business Details
On-Grid / Off-Grid Off-grid
Installation size (S)maller Installations
Operating Area India
Panel Suppliers Luminous Power Technologies Pvt. Ltd.
Inverter Suppliers Delta Energy Systems (Germany) GmbH, SolarEdge Technologies, Ltd., Havells",,,,,,,,,,,Off-grid,(S)maller Installations,India,,,,,,,,,,Off-grid,(S)maller Installations,India,Luminous Power Technologies Pvt. Ltd.,"Delta Energy Systems (Germany) GmbH, SolarEdge Technologies, Ltd., Havells",,,,,,,India,Luminous Power Technologies Pvt. Ltd.,"Delta Energy Systems (Germany) GmbH, SolarEdge Technologies, Ltd., Havells",,,,,,,,,,,,,,"25 Mar 2021
Update Above Information",,https://www.enfsolar.com/creative-business?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107869&utm_campaign=profiles_installer
Creative Elecpower Private Limited,,"Old Bypass Road, Near Rajendra Nagar Overbridge, Kankarbagh, Patna, Bihar",+91 6276 228145,www.creativeelecpower.in,India,,,,,,,,,On-grid,1(M)Wp+ Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,1(M)Wp+ Installations,"Evaluation, Design",India,,,,,,,,,,,,,,,"19 Jan 2021
Update Above Information",,https://www.enfsolar.com/creative-elecpower?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107865&utm_campaign=profiles_installer
Creative Eletrotech,,"302 Sigma Spectrum, Beside yash Arian, near Vivekanand Circle, Bhagirath Road, Memnagar 380052",+91 79489 26236,www.creativeelectrotech.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"31 Dec 2019
Update Above Information",,https://www.enfsolar.com/creative-eletrotech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120871&utm_campaign=profiles_installer
Creative Solar,,"S D F Pragati Building, Kinfra Industrial Park, Koratty",+91 480 2733144,www.creativesolar.in,India,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,SMA Solar Technology AG,,,,,,,,,,,,,,,"12 Nov 2020
Update Above Information",,https://www.enfsolar.com/creative-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=83831&utm_campaign=profiles_installer
CRS Infotech,,"Shop No. 712A, 7th Floor, Kasana Tower, Alpha Commercial Belt, Greater Noida - 201306, Uttar Pradesh",+91 80429 09958,www.crsinfotech.co.in,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,"6 Mar 2020
Update Above Information",,https://www.enfsolar.com/crs-infotech?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122244&utm_campaign=profiles_installer
Crux Power Pvt. Ltd.,,"1281/3149, Krupa Bhawan, Jayadurga Nagar, Bomikhal, Bhubaneswar, Odisha, 751006",+91 97782 08120,https://www.facebook.com/CruxPower/,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"19 Aug 2020
Update Above Information",,https://www.enfsolar.com/crux-power?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85083&utm_campaign=profiles_installer
Crystal Power Controls,,"5-46, NGO Colony 1st Line, Kurnool Road, Ongole, 523001",+91 94931 63424,www.crystalpowercontrols.in,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring, Training",India,,,,,,,,,,,,,,,"25 Aug 2020
Update Above Information",,https://www.enfsolar.com/crystal-power-controls?directory=installer&utm_source=ENF&utm_medium=India&utm_content=114690&utm_campaign=profiles_installer
Crystal Solar Energy,,"915, Arista Business Space, Nr. Armieda, Sindu Bhavan Road, Bodakdev, Ahmedabad, 380054",+91 78787 84353,Click to get email address,crystalsolarenergy.com,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,,"31 Jul 2020
Update Above Information",,https://www.enfsolar.com/crystal-solar-energy-1-2?directory=installer&utm_source=ENF&utm_medium=India&utm_content=97161&utm_campaign=profiles_installer
Crystal Solar Power Pvt. Ltd.,,"302, Shreenath Enclave, Shreehari Kute Marg, Near Sandip Hotel, Mumbai Naka, Nashik - 422002",crystalsolarpower.in,India,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"4 Mar 2021
Update Above Information",,https://www.enfsolar.com/crystal-solar-power?directory=installer&utm_source=ENF&utm_medium=India&utm_content=114694&utm_campaign=profiles_installer
Chips and Bytes Solutions (India) Limited,,"G1, 1st Floor, Naaz Building, Lamington Road, Mumbai, 400 004, Maharashtra",+91 22 23862385,www.cslimited.in,India,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,,,,,,,,,,,,,,,"17 Apr 2020
Update Above Information",,https://www.enfsolar.com/cs-limited?directory=installer&utm_source=ENF&utm_medium=India&utm_content=95049&utm_campaign=profiles_installer
CSK Wind Solar Services,,"New No 15, 7th West Cross Street, Shenoy Nagar, Chennai - 30",+91 444 8588864,cskwindsolarservices.in,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,India,,,,,,,,,,,,,,,,"25 Sep 2019
Update Above Information",,https://www.enfsolar.com/csk-wind-solar-services?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85081&utm_campaign=profiles_installer
Clover Solar Pvt. Ltd.,,"Clover Centrum, No. 5, Galaxy Society, 245, Boat Club Road, Pune 411001",+91 20 67265700,cloversolar.com,India,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",India,"SunPower Corp., First Solar, Inc.",SMA Solar Technology AG,Clover Technologies Pvt. Ltd.,,,,,,,,,,,,,"11 Mar 2021
Update Above Information",,https://www.enfsolar.com/cspl?directory=installer&utm_source=ENF&utm_medium=India&utm_content=103447&utm_campaign=profiles_installer
CU Energies,,"43, Napier Town, Jabalpur - 482002 (M.P.)",+91 96911 36524,www.cuenergies.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,India,,,,,,,,,,,,,,,,"18 Dec 2019
Update Above Information",,https://www.enfsolar.com/cu-energies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120470&utm_campaign=profiles_installer
CVK Solar Enterprises Pvt. Ltd,,"203-204, Okay Plus Tower, Near Vishal Megha Mart, Opposite Government hostel, Jaipur, Rajasthan 302001",+91 141 2365505,cvksolar.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"25 Oct 2019
Update Above Information",,https://www.enfsolar.com/cvk-solar-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85078&utm_campaign=profiles_installer
CVS Power Project Private Limited,,"Sh 9, 1st Floor, Gohana Road (Opposite Dalal Bhawan) Rohtak, Haryana -124001",+91 99923 94309,www.cvspowers.com,India,,,,,,,,,Design,India,,,,,,,,,,,,,,,,,,,,,,,,Design,India,,,,,,,,,,,,,,,,,26 Nov 2019,,https://www.enfsolar.com/cvs-power-project?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108024&utm_campaign=profiles_installer
Cybercity Builders and Developers Pvt Ltd.,,"Hariram Hills, Opposite IDL, Moosapet Kukatpally Road, Near HITEC City MMTS, Hyderabad - 500018",+91 40 45554555,www.cybercity.in,India,,,,,,,,,1(M)Wp+ Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,1(M)Wp+ Installations,Design,India,,,,,,,,,,,,,,,,"13 Sep 2020
Update Above Information",,https://www.enfsolar.com/cybercity?directory=installer&utm_source=ENF&utm_medium=India&utm_content=101690&utm_campaign=profiles_installer
Cybermine Integrated Services Pvt Ltd.,,"53, First Floor, Evershine Mall, Chincholi Bunder, Link Road, Malad (West), Mumbai - 400 064",integsrv.net,India,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"28 Oct 2019
Update Above Information",,https://www.enfsolar.com/cybermine-integrated-services?directory=installer&utm_source=ENF&utm_medium=India&utm_content=108043&utm_campaign=profiles_installer
Cybermotion Technologies Pvt. Ltd.,,"Plot No. 40, H.No. 8-2-402/3/1, Road No.5, Banjara Hills, Hyderabad-500034, Telangana",+91 91007 77902,www.cybermotionind.com,India,,,,,,,,,On-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,On-grid,(S)maller Installations,"Evaluation, Design, Monitoring",India,"Canadian Solar Inc., ReneSola Ltd., Jinko Solar Holding Co., Ltd.",Schneider Electric SA,,,,,,,,,,,,,"26 Dec 2019
Update Above Information",,https://www.enfsolar.com/cybermotion-technologies?directory=installer&utm_source=ENF&utm_medium=India&utm_content=87804&utm_campaign=profiles_installer
